PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates the type of activity observed: 0-10:  Low Permeability; 10-100: Moderate Permeability; >100: High Permeability,Observed permeability value for pH5 buffer (x 10-6 cm/sec),Annotation/notes on a particular compound's data or its analysis as described in the published paper.
1,124876702,563972,CSC1=NC2=C(C3=CC=CC=C3N2CCC4=CC=CC=C4)N=N1,Active,100,,,High,>1000,class = 0
2,124876734,766793,CCN(CC)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,Active,100,,,High,>1000,class = 0
3,14742988,2021006,C1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,Active,100,,,High,>1000,class = 0
4,24817107,1075912,C1=CC=C2C(=C1)C=C(C(=O)O2)C3=CSC(=N3)NC4=CC(=C(C=C4)C(=O)O)O,Active,74,,,Moderate,74.15,class = 0
5,49728050,6460634,CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3F,Active,100,,,High,278.38,class = 0
6,92763348,434973,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O,Active,21,,,Moderate,20.66,class = 0
7,92763396,426728,COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC,Active,55,,,Moderate,55.04,class = 0
8,124877629,667466,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Active,100,,,High,530.72,class = 0
9,174006272,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,100,,,High,141.95,class = 0
10,124880296,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Active,100,,,High,396.03,class = 0
11,124880521,133633,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,Active,100,,,High,418.75,class = 0
12,90341259,4658,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)I,Active,100,,,High,758.19,class = 0
13,124880630,6603915,COC1=CC=CC=C1N2CCN(CC2)CCN(C3=CC=CC=N3)C(=O)C4=CC=C(C=C4)F,Active,73,,,Moderate,73.05,class = 0
14,170466409,16363,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Active,98,,,Moderate,98.19,class = 0
15,384567961,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,Active,100,,,High,455.49,class = 0
16,124882688,180081,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,Active,73,,,Moderate,72.84,class = 0
17,50100539,6604471,CC(C)SC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,100,,,High,510.17,class = 0
18,170465786,3627,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Active,100,,,High,>1000,class = 0
19,384568009,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Active,100,,,High,262,class = 0
20,384568026,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Active,22,,,Moderate,22.02,class = 0
21,363676529,3689,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,Active,41,,,Moderate,40.59,class = 0
22,363676531,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Active,39,,,Moderate,39.28,class = 0
23,384568034,108092,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,Active,100,,,High,236,class = 0
24,384568052,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Inactive,5,,,Low,4.51,class = 1
25,104223766,664510,CNC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C#N,Active,100,,,High,644.7,class = 0
26,124888972,663191,CN(C)C1=CC=C(C=C1)C2=NN3C(=NN=C3S2)C4=CC=CC=C4OC,Active,100,,,High,>1000,class = 0
27,104222051,790407,C1=CC(=CN=C1)NC(=O)C2=CC=CS2,Active,100,,,High,181.35,class = 0
28,7965064,1265525,COC1=CC(=CC(=C1OC)OC)C(=O)N2CCN(CC2)C3=C(C=CC(=C3)Cl)Cl,Active,100,,,High,>1000,class = 0
29,384568104,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,Inactive,7,,,Low,6.63,class = 1
30,24271784,3237082,CC1=CC=CC=C1NC(=O)NC2=CC=CS2,Active,100,,,High,208.73,class = 0
31,24272350,15991077,COC1=CC=CC(=C1)C(=O)NC2=CC3=C(C=C2)OC(=N3)C4=CC5=CC=CC=C5C=C4,Active,100,,,High,755.8,class = 0
32,24272467,1725261,CC1=C(C2=C(O1)C=CC(=C2)N(C(=O)OC3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4)C(=O)C,Active,100,,,High,>1000,class = 0
33,24273695,15991223,CC1=CC=C(C=C1)CN2C3=CC=CC=C3C(C2=O)(CC(=O)C4=CC=C(C=C4)C)O,Active,100,,,High,626.07,class = 0
34,24273859,1205402,CC1=C(C2=C(N1C3=CC=C(C=C3)OC)C=CC(=C2)OC(=O)COC4=CC=CC=C4)C(=O)C,Active,100,,,High,>1000,class = 0
35,24274428,6407314,CC(=O)NC1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)OCC#C,Active,100,,,High,265.44,class = 0
36,24274975,1017166,CCOC1=C(C=CC(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=C(C=C3)Cl,Active,100,,,High,186.69,class = 0
37,24275611,15991364,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=CC=C5)O,Inactive,3,,,Low,2.62,class = 1
38,24275613,15991365,CC1=CC2=C(C=C1C)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=C(C=C5)O)OC,Active,25,,,Moderate,25.29,class = 0
39,24275635,15991372,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN(C)C)C4=CC=C(C=C4)O,Inactive,4,,,Low,3.9,class = 1
40,24275639,15991374,CCCCOC1=C(C=C(C=C1)C2C3=C(C(=O)N2CCCN(C)C)OC4=C(C3=O)C=C(C=C4)C)OCC,Active,100,,,High,273.18,class = 0
41,24275915,15991449,C1CCCN(CC1)C2=C(N=C(O2)C3=CC=C(C=C3)F)S(=O)(=O)C4=CC=CC=C4,Active,100,,,High,>1000,class = 0
42,24276017,4229355,CCC1=CC=C(C=C1)C2N=C(NC3=NC4=CC=CC=C4N23)N,Inactive,2,,,Low,1.54,class = 1
43,24276087,2983992,C1=CC(=C(C=C1C#N)F)C(=O)NC2=CC(=C(C=C2)Cl)C3=NC4=C(O3)C=CC(=C4)Cl,Active,100,,,High,678.9,class = 0
44,24276115,2982228,CC1=CC2=C(C=C1)N=C(O2)C3=C(C=CC(=C3)NC(=O)C4=CC5=C(C=C4)OCCO5)Cl,Active,29,,,Moderate,28.63,class = 0
45,24276118,3122421,CC1=CC=CC=C1NC(=O)CSC2=C(C(=CC(=N2)C3=CC=CC=C3)C4=CC=C(C=C4)OC)C#N,Active,100,,,High,586.84,class = 0
46,24276283,15991500,CC1=NC2=C(C(=NN2C(=C1)C3=CC=C(C=C3)OC)C)C4=CC(=C(C=C4)OC)OC,Active,100,,,High,>1000,class = 0
47,24276434,1252213,CN1C2=CN(C(=C2C(=O)N(C1=O)C)C3=CC=C(C=C3)Cl)CCC4=CC=CC=C4,Active,100,,,High,762.26,class = 0
48,24276494,5297518,CCOC(=O)C1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C=C2C#N)N4CCC3CC4,Active,100,,,High,236.48,class = 0
49,24276516,4898908,C1CN2CCC1C3=C2C=C4C(=C(SC4=N3)C(=O)NC5=CC=C(C=C5)Cl)N,Active,100,,,High,139.82,class = 0
50,24276518,5297522,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(C3=CC4=C(C5CCN4CC5)N=C3S2)N,Active,100,,,High,720.42,class = 0
51,24267292,4368645,CC1=CC(=C(C=C1Cl)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,100,,,High,>1000,class = 0
52,24267784,15987880,CCC1=CC(=CC=C1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3,Active,100,,,High,>1000,class = 0
53,24267786,15987881,CC1=C(C=C(C=C1)NC(=O)C(CC2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3)Cl,Active,100,,,High,570.44,class = 0
54,24267852,9551517,CCN1C=C(C2=CC(=C(C=C2C1=O)OC)OC)C(=O)N3CCN(CC3)C4=CC(=CC=C4)Cl,Active,100,,,High,809.63,class = 0
55,24267952,15987948,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)CCCCN3C(=O)C4=C(C=CS4)NC3=O,Active,100,,,High,718.99,class = 0
56,24268074,4753688,CCCCCN1C2=CC=CC=C2N=C1CCCNC(=O)C3=CC=CC=C3OC,Active,100,,,High,491.28,class = 0
57,377663928,15988512,CCC1=CC(=CC=C1)NC(=O)CSC2=NC3=CC=CC=C3N=C2N4CCCCC4,Active,100,,,High,350.84,class = 0
58,24268731,15988552,CC1(CC2=C(C=C(C(=O)N2C3=C(C=CC(=C3)OC)OC)C4=NC(=CS4)C5=CC=C(C=C5)Cl)C(=O)C1)C,Active,100,,,High,331.1,class = 0
59,24268872,15988674,C1=CC=C(C=C1)C(C(=O)NC2=CC=C(C=C2)Cl)NS(=O)(=O)C3=CC=CS3,Active,100,,,High,443.46,class = 0
60,24268876,15988676,CC1=C(C=CC(=C1)Br)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=CS3,Active,79,,,Moderate,79.41,class = 0
61,24269929,15989508,CC1=C(C=C(C=C1)NC(=O)NCC2CCN(CC2)CC3=CC(=CC=C3)Cl)Cl,Active,100,,,High,>1000,class = 0
62,24269957,15989530,C1CN(CCC1CNC(=O)NC2=CC(=C(C=C2)F)Cl)CC3=CC(=CC=C3)Cl,Active,100,,,High,637.64,class = 0
63,24269971,15989544,CCOC1=CC(=C(C=C1)OCC)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=C(S3)Br,Active,100,,,High,636.72,class = 0
64,24269973,15989546,CC(=O)NC1=CC=C(C=C1)NC(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=C(S3)Br,Active,16,,,Moderate,16.25,class = 0
65,24269975,15989548,CCN(C1=CC(=C(C=C1)C)C)C(=O)C(C2=CC=CC=C2)NS(=O)(=O)C3=CC=C(S3)Br,Active,100,,,High,109.62,class = 0
66,24269987,15989558,CC1=CC(=C(C=C1)C)CN2CCC(CC2)CNC(=O)NC3=C(C=C(C=C3)Br)F,Active,100,,,High,979.44,class = 0
67,24270400,2973056,COC1=C(C(=CC(=C1)C2CC(=O)NC3=CC4=C(C=C23)OCCO4)Br)OC,Active,100,,,High,>1000,class = 0
68,24270448,15989880,CC(C)OC1=CC=CC(=C1)C2CC(=O)NC3=CC4=C(C=C23)OCO4,Active,100,,,High,785.46,class = 0
69,24270611,15990000,CC1=C(C=C(C=C1)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F)F,Active,100,,,High,574,class = 0
70,24270631,8088003,CCN(C1=CC=CC=C1)S(=O)(=O)C2=C(N=C3N(C2=O)C(=CS3)C)C,Active,100,,,High,478.66,class = 0
71,24270768,15990148,CC1=C(C(=CC=C1)N2CCN(CC2)C3=NC4=CC=CC=C4C5=NN=C(N53)C)C,Active,100,,,High,>1000,class = 0
72,24270817,15990190,CC1=CC=C(C=C1)C(=O)NC2=C(N=C(N=C2NC3=CC=C(C=C3)C)NC4=CC=C(C=C4)C)C,Inactive,7,,,Low,6.76,class = 1
73,24270930,15990297,CCOC1=CC=C(C=C1)NC2=NC(=NC(=C2NC(=O)C3=CC=C(C=C3)C)C)NC4=CC=C(C=C4)OCC,Active,59,,,Moderate,59,class = 0
74,24270984,15990342,CCC1=NC2=C(C=CC(=C2)C(=O)NCCCOC)SC3=C1C=C(C=C3)Br,Active,100,,,High,>1000,class = 0
75,24271060,15990397,CN1C2=CC=CC=C2N=C(C1=O)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC,Active,100,,,High,151.35,class = 0
76,24271069,15990405,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=C(NC(=N3)C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Active,100,,,High,585,class = 0
77,24271228,15990550,CCC1=NC2=C(C=CC(=C2)C(=O)NC3CCCC3)SC4=C1C=C(C=C4)Cl,Active,100,,,High,639.9,class = 0
78,24271658,15990919,CCOC(=O)C1=CC=C(C=C1)N2C(C3=C(NN=C3C2=O)C4=CC=CS4)C5=C(C=C(C=C5)Cl)Cl,Active,100,,,High,315.67,class = 0
79,24271662,15990923,CCOC1=CC=C(C=C1)C2C3=C(NN=C3C(=O)N2C4=CC=C(C=C4)C(=O)OCC)C5=CC=CS5,Active,100,,,High,448.13,class = 0
80,24398403,16020134,CCN(CC1=CC=CC=C1)CC2=C(C(NC(=O)N2)C3=CC=C(C=C3)OC(C)C)C(=O)OCC,Active,100,,,High,>1000,class = 0
81,24398415,16020144,CCOC(=O)C1=CC=C(C=C1)N2C(C3=C(NN=C3C2=O)C4=CC=CO4)C5=CC=C(C=C5)C,Active,100,,,High,231.48,class = 0
82,24398802,15999416,COC1=CC(=C(C=C1)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,100,,,High,129.3,class = 0
83,24383549,16007397,CC1=CC(=C(C=C1)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,100,,,High,292.9,class = 0
84,24384235,16008054,CC1=CC(=C(C=C1)C)CN2C3=C(C=CC(=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5F)S(=O)C6=CC=CC=C6C2=O,Active,100,,,High,932.21,class = 0
85,24385481,4917871,CCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=O)N2CCC3=C(C=CS3)C)C4=CC=C(C=C4)F,Active,100,,,High,830.61,class = 0
86,24386250,2151568,COC1=CC=C(C=C1)C2=NC3=C(CC4=CC=CC=C4O3)C(=N2)SCC(=O)NC5=CC=C(C=C5)C(=O)O,Active,37,,,Moderate,36.62,class = 0
87,24386633,16010131,CCCNC(=O)C1=CC2=C(C=C1)SC3=C(C=CC(=C3C(=N2)C)C)C,Active,100,,,High,>1000,class = 0
88,24386639,16010137,CC1=C2C(=NC3=C(C=CC(=C3)C(=O)NCCC4=CC=CC=C4)SC2=C(C=C1)C)C,Active,100,,,High,466.05,class = 0
89,24387064,16010530,CN(C1=CC=C(C=C1)OC)C(=O)C2=CC3=C(S2)C4=CC=CC=C4OC3,Active,100,,,High,963.08,class = 0
90,24387423,16010865,CCC1=CC2=C(C(=CN=C2C=C1)C(=O)C3=CC(=C(C=C3)C)C)N4CCC(CC4)C(=O)N,Active,100,,,High,653.08,class = 0
91,24387738,16011163,CC1=CC=C(C=C1)C2=NC(=C(O2)C)CN3C4=C(C=C3C(=O)OC)OC=C4,Active,100,,,High,256.88,class = 0
92,24389898,1243964,CN1C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)Br)N=C1CN4CCCCC4,Active,100,,,High,178.44,class = 0
93,24390124,16013207,COC1=CC=C(C=C1)C2=NOC(=N2)CSC3=NN=C(N3C4=CC=C(C=C4)F)CC5=CC=CC=C5,Active,100,,,High,>1000,class = 0
94,24391630,6485805,CC1=C(C(=O)N2C(=N1)N=C(N2)NC(=O)C3=CC=C(C=C3)C(C)(C)C)Cl,Active,84,,,Moderate,83.87,class = 0
95,377659287,16014174,C1=CC=C(C=C1)CNC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F,Active,100,,,High,295.97,class = 0
96,24391725,16014186,C1=CC=C(C(=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=CC=C3F)Cl)F,Active,100,,,High,505,class = 0
97,24391907,16014337,CCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)C,Active,100,,,High,710.55,class = 0
98,24392250,16014640,CCCCCN1C=C2C(=C1C3=CC=C(C=C3)Br)C(=O)N(C(=O)N2C)C,Active,100,,,High,945.87,class = 0
99,377679993,16014644,CCCCN1C=C2C(=C1C3=CC=C(C=C3)Br)C(=O)N(C(=O)N2C)C,Active,100,,,High,>1000,class = 0
100,24392272,16014662,CN1C2=CN(C(=C2C(=O)N(C1=O)C)C3=CC=C(C=C3)Br)CCC4=CC=CC=C4,Active,100,,,High,590.74,class = 0
101,24392503,16014853,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=C(C=CC(=C2)C)C)N(CC3=CC=C(C=C3)F)CC4=CC=CO4,Active,100,,,High,696,class = 0
102,377664250,16015040,CCOC(=O)N1CCN(CC1)CC2=NC3=C(N2C(C)C)C=CC(=C3)NC(=O)C4=CC=C(C=C4)OC,Active,100,,,High,808.19,class = 0
103,377712643,16015257,CCC1=CC=C(C=C1)OC(C)C(=O)N2CCC(CC2)C3=NC4=CC=CC=C4O3,Active,100,,,High,>1000,class = 0
104,24393159,16015431,CN(C1=CC=CC=C1)C(=O)CSC2=NC3=C(S2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)F,Active,100,,,High,900.54,class = 0
105,24394075,7661054,CCOC1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)NCC3=CC=CC=C3Cl,Inactive,2,,,Low,2,class = 1
106,24394152,135546828,CCC1=CC=C(C=C1)N2C3=C(C(SCC(=O)N3)C4=CC=CC=C4C)C(=N2)C,Active,100,,,High,706.67,class = 0
107,24395522,16017615,COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)S(=O)(=O)N3CCOCC3,Active,100,,,High,786.8,class = 0
108,24395988,16018041,CC(C)OC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)C(=O)N3CCOC4=C3C=C(C=C4)Cl,Active,100,,,High,859.51,class = 0
109,24396173,16018226,COC1=C(C=C(C=C1)CCNC(=O)CN2C3=C(C=CC(=C3)F)N4C=CC=C4C2=O)OC,Active,100,,,High,317.04,class = 0
110,24396266,16018319,CCN(CC)CCCNC(=O)C1=CC2=C(C=C1)N3C=C(N=C3S2)C4=CC=C(C=C4)OCC,Active,100,,,High,114.22,class = 0
111,24396388,135546945,COC1=CC(=CC(=C1OC)OC)NC(=O)C2=CC(=NO2)C3=CC=CC=C3O,Active,100,,,High,>1000,class = 0
112,24396621,16018629,COC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)C=C)C(=O)O)CNC4CCCCC4,Active,100,,,High,702.5,class = 0
113,24397051,16019052,CC1=C(C=C(C=C1)N2C(=O)C3=C(C4=CC=CC=C4O3)N(C2=O)CC(=O)NC5=CC(=C(C=C5)F)Cl)C,Active,100,,,High,582.9,class = 0
114,24397142,16019143,CC1=CC=C(C=C1)C2=C(SC=C2CN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F)C,Active,35,,,Moderate,35.02,class = 0
115,24397412,8099609,CC1=CC(=C(C=C1Cl)OC)NS(=O)(=O)C2=C(N=C3N(C2=O)C=CS3)C,Active,100,,,High,801.59,class = 0
116,24397414,8099624,CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)C(=O)OC,Active,100,,,High,412.73,class = 0
117,24397943,16019899,CC(C)CCN1C(=O)C2=C(C=CS2)N3C1=NN=C3CCCC(=O)NC4=CC(=C(C=C4)OC)Cl,Active,100,,,High,>1000,class = 0
118,24398886,16020541,CC1CCCN(C1)C2=C(C=C3C(=C2)N(C=C(C3=O)S(=O)(=O)C4=CC=CC(=C4)C)CC5=CC=CC=C5)F,Active,100,,,High,832,class = 0
119,24398888,16020543,CC1CCCCN1C2=C(C=C3C(=C2)N(C=C(C3=O)S(=O)(=O)C4=CC=CC(=C4)C)CC5=CC=CC=C5)F,Active,100,,,High,485.18,class = 0
120,24400515,16022130,CC1=CC(=C(C=C1)NC(=O)C2=C(C3=C(N2C)C=CC(=C3)C)N4CCCC4=O)C,Active,100,,,High,>1000,class = 0
121,24401057,16022668,CC1=CC=C(C=C1)N2C(=C3C(=NN(C(=O)C3=N2)CCCC(=O)NC(C)C4=CC=CC=C4)C)C,Active,100,,,High,561.83,class = 0
